modelo_aeronave,idade_aeronave_anos,horas_voo_total,tipo_motor,companhia_aerea,ultima_manutencao_meses,ciclos_pouso_decolagem,temperatura_media_operacao,falha_critica,tipo_falha
Embraer E190,26,20574,Turbojato,British,7,1236,-32.59802578472857,0.0,Nenhuma
Boeing 737,21,25688,Turboprop,Delta,14,4009,-36.89576775258322,1.0,Estrutural
Airbus A330,22,2807,Turbofan,GOL,23,823,12.724535470029714,0.0,Nenhuma
Airbus A320,26,40401,Turbofan,LATAM,12,4655,-14.985029210957034,0.0,Nenhuma
Boeing 777,7,11705,Turboprop,British,3,4510,-32.65211098026113,0.0,Nenhuma
Embraer E190,14,6406,Turbofan,GOL,5,402,24.551439921301352,1.0,Outros
Airbus A330,15,3091,Turbofan,British,17,4557,-13.306259743500249,1.0,Pressurização
Boeing 737,21,15649,Turbojato,United,10,4880,-0.9340382807509968,0.0,Nenhuma
Boeing 737,7,45418,Turboprop,Azul,10,3078,-19.870901166429615,0.0,Nenhuma
Boeing 787,9,40451,Turboprop,United,11,167,13.32195166042699,0.0,Nenhuma
Boeing 787,19,25650,Turboprop,GOL,17,531,-14.373484694879448,0.0,Nenhuma
Airbus A350,16,32352,Turbofan,GOL,5,4337,42.28178170434842,0.0,Nenhuma
Airbus A320,8,43370,Turboprop,GOL,13,2687,19.750541632437056,1.0,Motor
Bombardier CRJ,18,1783,Turboprop,American,10,156,-28.37860650825541,0.0,Nenhuma
Airbus A330,27,34191,Turbojato,Azul,9,4527,-4.580938627755323,0.0,Nenhuma
Airbus A330,23,1625,Turbojato,British,17,4928,-7.239206522960316,0.0,Nenhuma
Bombardier CRJ,29,2029,Turbojato,Emirates,1,293,5.411004411232561,0.0,Nenhuma
Airbus A350,18,26670,Turbofan,GOL,4,2682,31.564107330736533,0.0,Nenhuma
Boeing 777,20,8938,Turboprop,GOL,4,4613,9.59087129055515,0.0,Nenhuma
Boeing 777,7,20595,Turbojato,British,18,915,-34.76768240400006,0.0,Nenhuma
Airbus A350,3,16654,Turbojato,Emirates,9,3031,15.71033422824268,0.0,Nenhuma
Boeing 777,18,8504,Turbojato,United,18,1611,-39.297449674602035,0.0,Nenhuma
Boeing 787,27,10252,Turboprop,United,14,653,26.296639145933412,0.0,Nenhuma
Airbus A330,10,43860,Turboprop,GOL,15,3112,16.66406615495557,0.0,Nenhuma
Airbus A350,7,27319,Turboprop,LATAM,6,4068,-13.753219040030192,1.0,Sistema de Pouso
Airbus A330,17,37132,Turbofan,American,10,2065,-15.142446609891163,0.0,Nenhuma
Bombardier CRJ,14,27015,Turbofan,United,15,1708,27.853204706435974,0.0,Nenhuma
Boeing 737,24,24717,Turbojato,LATAM,4,3430,26.58361881359275,0.0,Nenhuma
Boeing 787,3,23672,Turboprop,American,18,3817,-10.054299877975406,0.0,Nenhuma
Embraer E190,12,33494,Turbojato,GOL,18,3820,-14.589443113218675,0.0,Nenhuma
Boeing 787,28,15536,Turboprop,Azul,17,1663,7.585107055037149,0.0,Nenhuma
Airbus A350,13,12239,Turboprop,Delta,12,1929,-39.28891890134774,0.0,Nenhuma
Embraer E190,2,32720,Turboprop,Delta,7,4158,-32.97330177114391,0.0,Nenhuma
Boeing 737,3,49916,Turbofan,GOL,16,2396,-29.27558483735738,1.0,Motor
Airbus A350,5,10087,Turbofan,United,11,1149,-24.239995484690194,0.0,Nenhuma
Airbus A320,11,45017,Turboprop,LATAM,14,1124,3.5215407674148693,1.0,Motor
Airbus A330,8,30629,Turbojato,Azul,3,836,44.340562763195365,0.0,Nenhuma
Boeing 737,26,1145,Turboprop,British,19,198,15.472139148525045,1.0,Estrutural
Airbus A330,23,31430,Turboprop,American,18,1804,-34.789602471815996,0.0,Nenhuma
Boeing 777,23,16799,Turbojato,GOL,10,2219,4.67424679529055,0.0,Nenhuma
Airbus A320,12,30590,Turboprop,Azul,6,3806,2.2148430531078773,1.0,Outros
Airbus A320,7,22453,Turbojato,Emirates,13,1229,-27.745735655465793,0.0,Nenhuma
Boeing 737,15,46943,Turbofan,Azul,10,3359,38.22315134820465,0.0,Nenhuma
Airbus A320,24,26975,Turbofan,United,18,2473,-2.5349539475936353,1.0,Sistema Hidráulico
Embraer E190,17,19388,Turbojato,Emirates,20,4227,44.53752695182787,1.0,Sistemas de Navegação
Airbus A320,4,44232,Turbofan,American,16,4637,-4.293854903566036,0.0,Nenhuma
Airbus A330,29,16587,Turbofan,Emirates,6,974,11.676404728106789,0.0,Nenhuma
Airbus A330,22,46805,Turbojato,Azul,13,1653,-31.095184401627595,1.0,Estrutural
Airbus A350,25,46537,Turbofan,United,4,3102,-1.3906349764161163,1.0,Elétrico
Airbus A330,13,9846,Turboprop,Emirates,23,4268,-19.70489900966227,1.0,Comunicações
Airbus A350,18,1087,Turboprop,LATAM,14,4853,31.023007878554978,0.0,Nenhuma
Airbus A330,1,13263,Turbojato,United,1,2427,26.633164713740896,0.0,Nenhuma
Embraer E190,16,42445,Turbofan,LATAM,20,3530,30.055299968155467,1.0,Motor
Bombardier CRJ,13,4579,Turboprop,LATAM,5,3232,21.50680220942587,0.0,Nenhuma
Airbus A350,10,36616,Turboprop,Emirates,8,2867,30.778074007704348,0.0,Nenhuma
Boeing 787,12,20715,Turbofan,Emirates,12,3210,-22.929556235131727,1.0,Sistema de Pouso
Boeing 777,2,26317,Turbofan,British,2,4855,-1.5762789907168582,0.0,Nenhuma
Boeing 737,23,25265,Turboprop,British,12,4939,18.806984795407296,1.0,Sistema Hidráulico
Airbus A330,3,30612,Turboprop,Azul,5,761,14.178362324486464,0.0,Nenhuma
Airbus A320,10,26056,Turbojato,United,22,2636,20.89013104429739,0.0,Nenhuma
Bombardier CRJ,2,18599,Turbojato,British,5,2698,-20.938037432145304,0.0,Nenhuma
Airbus A330,27,44053,Turboprop,LATAM,13,1767,-31.633049731175873,1.0,Elétrico
Airbus A320,23,45596,Turbojato,British,9,4402,37.928559136356,0.0,Nenhuma
Boeing 777,13,6950,Turboprop,American,10,920,7.6146111232254725,0.0,Nenhuma
Boeing 777,13,13730,Turboprop,Azul,1,3624,-26.92479641687007,0.0,Nenhuma
Boeing 777,18,29509,Turbojato,United,3,4954,27.442109460425726,1.0,Sistema de Pouso
Airbus A320,3,5933,Turbojato,United,18,320,37.769044613489015,1.0,Pressurização
Airbus A330,27,34366,Turbofan,Delta,12,1593,-25.58710092145573,0.0,Nenhuma
Boeing 777,7,40364,Turbofan,United,3,599,29.480058697874398,0.0,Nenhuma
Embraer E190,14,19210,Turbofan,Azul,9,4713,39.32413021212591,0.0,Nenhuma
Airbus A350,20,11939,Turboprop,American,2,4064,39.76073602516148,1.0,Pressurização
Airbus A320,29,42355,Turbojato,United,3,4504,37.703299240547594,1.0,Estrutural
Airbus A320,17,16521,Turboprop,Delta,14,1762,6.445786050608731,1.0,Outros
Airbus A330,29,6916,Turbojato,Azul,4,3290,-9.722038033421114,1.0,Sistema Hidráulico
Airbus A320,21,7480,Turboprop,LATAM,19,1412,-39.38181134600921,1.0,Elétrico
Airbus A320,12,18558,Turbofan,GOL,13,4943,-34.8224607159202,1.0,Sistema de Pouso
Boeing 777,25,11601,Turbofan,GOL,7,1334,-3.548683699721792,0.0,Nenhuma
Airbus A330,16,41218,Turbofan,LATAM,12,936,-6.057277556721623,0.0,Nenhuma
Boeing 777,24,33102,Turboprop,British,3,2308,-24.299317686559927,0.0,Nenhuma
Airbus A350,12,9622,Turbojato,United,23,4432,-6.3841976173091695,0.0,Nenhuma
Bombardier CRJ,15,13076,Turbojato,Emirates,23,1835,-25.15474443629371,0.0,Nenhuma
Airbus A350,25,28016,Turbofan,GOL,9,4888,32.14725648594644,0.0,Nenhuma
Bombardier CRJ,10,22933,Turbofan,British,2,3593,-14.653435380574098,0.0,Nenhuma
Boeing 777,25,1589,Turbofan,GOL,22,345,10.877969763456349,0.0,Nenhuma
Airbus A350,7,37846,Turbofan,LATAM,9,2103,2.7416602699223773,0.0,Nenhuma
Airbus A330,20,9627,Turbojato,United,12,2647,-35.59002340451066,1.0,Outros
Boeing 737,5,10987,Turboprop,United,12,730,40.089866156749125,0.0,Nenhuma
Boeing 777,1,655,Turboprop,British,15,4940,4.8142081512910835,1.0,Pressurização
Bombardier CRJ,17,2458,Turboprop,LATAM,2,4348,-12.370100311695698,1.0,Outros
Embraer E190,3,11193,Turboprop,British,18,374,-26.559241581189198,1.0,Sistema de Pouso
Bombardier CRJ,13,39612,Turbofan,United,13,2341,-11.22523604821896,1.0,Sistema de Pouso
Embraer E190,14,39047,Turbofan,Emirates,14,4472,-38.256513743011894,1.0,Pressurização
Airbus A320,24,29295,Turbofan,United,5,1036,-9.097556795394695,0.0,Nenhuma
Airbus A350,18,21947,Turboprop,Azul,10,3168,5.176303820882914,0.0,Nenhuma
Embraer E190,4,37098,Turbofan,Emirates,12,810,34.1086308973303,0.0,Nenhuma
Bombardier CRJ,18,42314,Turbofan,British,10,3743,18.426825504312795,1.0,APU
Airbus A320,5,25715,Turbojato,Azul,11,1086,-30.51550338367448,0.0,Nenhuma
Boeing 737,25,10294,Turbojato,LATAM,2,956,-27.44156242277331,0.0,Nenhuma
Airbus A330,16,33709,Turbofan,American,5,414,-3.6095137354381492,1.0,Pressurização
Airbus A330,1,22924,Turbojato,GOL,7,3463,-23.364841110703033,0.0,Nenhuma
Airbus A330,21,47746,Turbojato,Azul,6,1119,-37.63276890546576,1.0,Sistema Hidráulico
Embraer E190,14,37896,Turbofan,GOL,22,4419,28.426264810035974,1.0,Comunicações
Boeing 737,15,6870,Turbofan,Delta,23,2305,-38.3405814906705,0.0,Nenhuma
Embraer E190,9,10028,Turbofan,LATAM,3,3736,30.608616441831188,0.0,Nenhuma
Airbus A350,15,28776,Turbofan,American,13,4269,-27.75116314219789,0.0,Nenhuma
Embraer E190,17,44833,Turboprop,Delta,3,3131,42.84766491860488,0.0,Nenhuma
Boeing 737,25,8679,Turboprop,Delta,21,3308,11.32928250522616,0.0,Nenhuma
Boeing 737,24,49281,Turbofan,United,6,2157,22.47355258854111,1.0,Estrutural
Airbus A350,4,17343,Turbojato,Delta,11,2983,-30.608891622714488,0.0,Nenhuma
Boeing 737,12,24452,Turbofan,LATAM,17,2879,33.27884624337581,0.0,Nenhuma
Bombardier CRJ,27,33660,Turbofan,Azul,10,491,31.33134914408076,0.0,Nenhuma
Boeing 737,26,45398,Turbojato,LATAM,12,1609,15.504382181046005,0.0,Nenhuma
Airbus A330,5,30016,Turboprop,Azul,17,1791,2.693363490607929,1.0,Sistema de Pouso
Bombardier CRJ,29,10949,Turbofan,Delta,4,675,21.326579716192164,1.0,Elétrico
Bombardier CRJ,5,21625,Turbofan,Delta,2,3913,-39.49610169636536,0.0,Nenhuma
Airbus A350,11,7918,Turboprop,Emirates,11,1740,10.357464208869054,0.0,Nenhuma
Boeing 787,28,23246,Turboprop,American,7,2831,32.02952146898511,0.0,Nenhuma
Boeing 787,6,2954,Turbojato,Azul,2,140,-9.66350959014584,0.0,Nenhuma
Boeing 737,7,18261,Turboprop,Delta,18,3056,-30.79540469895207,1.0,Sistema de Pouso
Bombardier CRJ,24,15723,Turboprop,United,21,4352,-4.2254337718274755,1.0,Estrutural
Boeing 787,14,7201,Turboprop,Emirates,4,1138,21.80387816997309,0.0,Nenhuma
Boeing 787,24,3097,Turbojato,GOL,8,4661,-30.879397118492836,1.0,Estrutural
Boeing 737,11,641,Turboprop,Emirates,20,1230,-22.48587238190435,0.0,Nenhuma
Boeing 787,13,3159,Turboprop,American,14,1951,-27.458093019560508,0.0,Nenhuma
Embraer E190,2,21480,Turbojato,LATAM,12,4540,27.74055922389411,0.0,Nenhuma
Airbus A320,25,9531,Turboprop,American,22,236,-34.65412709153862,1.0,Sistema Hidráulico
Airbus A350,7,15537,Turboprop,GOL,21,1647,18.3598526797268,0.0,Nenhuma
Airbus A320,20,47238,Turbojato,Emirates,18,3458,-8.851161735978735,1.0,Motor
Boeing 737,4,38929,Turbofan,Azul,11,3797,24.242255645250694,1.0,Pressurização
Airbus A330,27,6642,Turbojato,LATAM,8,2720,41.9725905966432,1.0,Estrutural
Airbus A350,8,12609,Turboprop,LATAM,2,4875,-30.263649535149007,0.0,Nenhuma
Boeing 737,20,22510,Turboprop,Azul,15,289,-13.27727150926603,1.0,Outros
Bombardier CRJ,29,9287,Turboprop,British,9,2630,28.86066135610284,0.0,Nenhuma
Airbus A330,22,43364,Turbojato,British,19,4286,-17.37653718565,0.0,Nenhuma
Airbus A320,21,8972,Turboprop,American,20,188,-21.714749251086523,1.0,Elétrico
Boeing 737,19,23883,Turboprop,Delta,8,2556,30.1571281188626,0.0,Nenhuma
Bombardier CRJ,13,4749,Turbojato,British,19,4215,43.90200094050748,1.0,Sistemas de Navegação
Airbus A350,14,48217,Turbofan,American,5,4530,7.334850162577091,1.0,Motor
Airbus A350,10,35018,Turbofan,British,11,4775,-16.365856391666163,0.0,Nenhuma
Boeing 777,11,18851,Turboprop,GOL,15,2295,-6.1218932639954105,0.0,Nenhuma
Bombardier CRJ,2,4588,Turbojato,United,8,4350,-25.538922172393235,0.0,Nenhuma
Embraer E190,25,15782,Turboprop,Delta,19,1799,24.76041870571396,0.0,Nenhuma
Boeing 787,26,19830,Turbojato,American,23,617,25.745291514935275,0.0,Nenhuma
Airbus A330,9,42909,Turbojato,United,8,4950,34.38528435251203,1.0,Motor
Bombardier CRJ,17,22278,Turbofan,United,19,931,-37.73878209429207,0.0,Nenhuma
Boeing 777,26,24764,Turbofan,Emirates,18,689,7.768414038242234,0.0,Nenhuma
Boeing 787,3,5575,Turbojato,British,10,4011,-21.788288080829325,0.0,Nenhuma
Boeing 787,24,10912,Turboprop,Emirates,7,4470,-11.024943683149644,1.0,Sistema Hidráulico
Boeing 737,6,48954,Turbofan,Azul,9,4587,26.72122729935313,1.0,Motor
Boeing 787,5,28865,Turboprop,GOL,1,4949,-23.677139549272827,1.0,Sistema de Pouso
Embraer E190,5,7730,Turbofan,GOL,19,2385,14.259048799392623,0.0,Nenhuma
Airbus A350,22,48700,Turbofan,GOL,5,4371,15.63812625400584,0.0,Nenhuma
Boeing 777,15,11502,Turboprop,Delta,19,3035,41.09798276669555,1.0,Instrumentos
Boeing 787,23,14447,Turbofan,LATAM,1,609,25.88867892495965,0.0,Nenhuma
Boeing 737,17,14186,Turbofan,Delta,15,763,28.308987508063936,1.0,Pressurização
Embraer E190,9,29804,Turboprop,American,16,4643,5.186063666520944,0.0,Nenhuma
Airbus A320,3,13574,Turbofan,United,23,4038,-24.123631391198494,0.0,Nenhuma
Airbus A350,20,4993,Turbofan,United,7,306,-3.82711391394011,0.0,Nenhuma
Airbus A350,26,34728,Turbofan,Emirates,12,626,6.706613748504729,0.0,Nenhuma
Boeing 777,17,14640,Turboprop,LATAM,8,87,17.665636395665544,0.0,Nenhuma
Airbus A350,29,32155,Turbojato,American,5,2122,11.655274505713813,1.0,Elétrico
Boeing 787,27,43972,Turboprop,LATAM,10,4555,-6.511884542034302,1.0,Sistema Hidráulico
Boeing 737,10,49937,Turbojato,United,21,510,-17.44838590535348,1.0,Motor
Airbus A350,3,49916,Turbofan,British,5,1490,-25.700378327686938,0.0,Nenhuma
Airbus A350,18,7316,Turbojato,Delta,17,4528,18.97685783314264,0.0,Nenhuma
Airbus A320,18,12139,Turboprop,GOL,5,1882,14.858887316561223,0.0,Nenhuma
Airbus A320,17,47692,Turboprop,United,22,4714,18.426659589413568,1.0,Sistema de Combustível
Airbus A330,24,47233,Turbofan,Azul,15,3449,-8.335166511762438,1.0,Sistema Hidráulico
Embraer E190,3,29992,Turbojato,GOL,13,482,-17.69533508148667,0.0,Nenhuma
Boeing 787,3,11740,Turbofan,United,1,4201,24.576312937878654,0.0,Nenhuma
Airbus A350,6,33198,Turbofan,Delta,11,1801,25.760028579703402,0.0,Nenhuma
Bombardier CRJ,13,27457,Turboprop,LATAM,23,2097,-1.2726082128185467,1.0,Instrumentos
Airbus A350,24,33308,Turbojato,British,1,2890,12.011847205222551,0.0,Nenhuma
Boeing 737,29,6327,Turbojato,British,11,306,-8.250828540301995,0.0,Nenhuma
Airbus A330,15,33262,Turbojato,GOL,18,721,19.66551201018357,0.0,Nenhuma
Embraer E190,25,8759,Turbojato,Delta,18,539,31.036335715069058,1.0,Elétrico
Bombardier CRJ,9,15349,Turbofan,British,21,3764,18.499828573530202,1.0,Sistemas de Navegação
Airbus A330,4,16732,Turbofan,British,16,2146,3.5695232820066067,0.0,Nenhuma
Boeing 777,14,41072,Turboprop,American,13,1732,-1.0140734431485257,1.0,APU
Embraer E190,5,24673,Turbofan,Azul,7,4461,14.597170332938262,0.0,Nenhuma
Airbus A350,2,5874,Turbofan,GOL,1,2510,17.783925786113073,0.0,Nenhuma
Airbus A350,11,21674,Turboprop,LATAM,16,4579,7.492002699585818,1.0,Outros
Embraer E190,9,24067,Turboprop,British,1,3962,13.120093384128573,0.0,Nenhuma
Airbus A350,24,35792,Turboprop,American,17,2025,-31.78996198796476,0.0,Nenhuma
Boeing 787,3,9777,Turbofan,Delta,6,3266,40.900068872097776,1.0,Pressurização
Embraer E190,27,32100,Turbofan,British,2,1439,27.215710417222894,1.0,Estrutural
Airbus A330,28,10385,Turboprop,Emirates,17,4565,-8.216131074923375,1.0,Sistema Hidráulico
Embraer E190,29,1278,Turboprop,Azul,6,3906,7.839071931058548,1.0,Estrutural
Bombardier CRJ,9,29665,Turboprop,LATAM,14,1634,-35.97741493840419,0.0,Nenhuma
Airbus A350,3,1992,Turbofan,Delta,18,4989,-36.49563581007987,0.0,Nenhuma
Boeing 787,25,30962,Turbofan,Delta,6,3013,-18.68214151548317,0.0,Nenhuma
Boeing 787,2,14115,Turbojato,GOL,10,4579,18.624639600992978,0.0,Nenhuma
Boeing 777,12,45400,Turbofan,British,18,1026,32.432558563000995,0.0,Nenhuma
Airbus A330,10,43446,Turbofan,GOL,9,3414,7.530799798287113,0.0,Nenhuma
Airbus A320,9,8351,Turbofan,LATAM,8,95,5.231282864499953,0.0,Nenhuma
Airbus A320,15,16788,Turboprop,Emirates,10,1243,-5.803689627725397,0.0,Nenhuma
Embraer E190,8,7656,Turbofan,British,17,3392,-26.2641737435682,1.0,Outros
Boeing 777,25,2544,Turboprop,United,23,4562,-29.939901387240063,1.0,Sistema Hidráulico
Boeing 737,5,7868,Turbojato,British,6,4993,24.65777970378211,0.0,Nenhuma
Embraer E190,11,20400,Turbojato,Emirates,14,296,38.83780186020893,0.0,Nenhuma
Boeing 777,27,31100,Turboprop,United,22,3269,-1.045926607166784,1.0,Sistema Hidráulico
Airbus A330,2,46903,Turboprop,Delta,22,4375,16.052880990829244,1.0,Motor
Airbus A330,24,26134,Turboprop,GOL,6,841,37.72890032488,0.0,Nenhuma
Airbus A330,28,9668,Turbofan,Azul,7,686,-32.34034120059771,0.0,Nenhuma
Airbus A330,15,21461,Turbojato,British,12,3825,25.49092351511753,0.0,Nenhuma
Airbus A330,6,44596,Turboprop,Azul,3,2471,12.429435171923885,0.0,Nenhuma
Boeing 777,8,46587,Turbofan,British,14,4883,10.884160200538211,0.0,Nenhuma
Boeing 777,27,24352,Turbojato,Delta,22,1138,-15.134063579066567,1.0,Sistema Hidráulico
Boeing 787,5,33610,Turbofan,GOL,19,4233,18.130935156102538,1.0,Sistemas de Navegação
Bombardier CRJ,16,32674,Turbojato,LATAM,23,3209,27.55780915976601,0.0,Nenhuma
Airbus A320,26,34715,Turbofan,LATAM,16,762,-30.407055979785742,1.0,Sistema Hidráulico
Airbus A350,18,27455,Turbojato,LATAM,7,4746,5.349321633383624,0.0,Nenhuma
Airbus A330,6,7081,Turbojato,British,8,3694,-31.392459616070177,0.0,Nenhuma
Boeing 737,5,45119,Turbofan,British,18,3940,34.16879164029979,0.0,Nenhuma
Airbus A350,28,6817,Turboprop,Azul,13,2636,3.1491214257895166,0.0,Nenhuma
Boeing 777,16,43356,Turbojato,GOL,21,4359,28.677083587164375,1.0,APU
Boeing 737,13,46214,Turboprop,Emirates,9,2158,-8.712720798371787,0.0,Nenhuma
Boeing 737,28,27149,Turbofan,British,10,4843,-29.36835072061234,1.0,Elétrico
Boeing 737,5,23632,Turboprop,GOL,21,3664,-36.472559127214524,0.0,Nenhuma
Boeing 787,13,17289,Turboprop,Azul,23,1292,-16.07168223434808,1.0,Sistemas de Navegação
Boeing 777,17,15067,Turboprop,British,9,2109,-19.240135469053325,0.0,Nenhuma
Boeing 737,18,15368,Turboprop,LATAM,15,3536,7.629917791696755,1.0,Outros
Airbus A330,8,24870,Turboprop,LATAM,20,4382,-38.152198764584874,0.0,Nenhuma
Embraer E190,13,43033,Turbojato,Delta,2,3860,4.248496265429736,0.0,Nenhuma
Boeing 737,29,30983,Turbojato,United,13,3950,-6.699401928979732,0.0,Nenhuma
Boeing 787,19,12966,Turbojato,American,2,2655,9.055392942727586,1.0,Outros
Airbus A350,26,29303,Turbofan,Emirates,19,4792,19.705489892780996,1.0,Sistema Hidráulico
Boeing 777,3,18730,Turboprop,United,2,3084,13.897815331786319,0.0,Nenhuma
Bombardier CRJ,24,18362,Turbojato,British,3,4618,43.69477139673613,1.0,Estrutural
Boeing 787,8,43855,Turbofan,GOL,6,4257,-28.24744577046596,1.0,Motor
Boeing 737,2,31759,Turbojato,British,3,4101,-3.4723542409688264,0.0,Nenhuma
Boeing 777,8,34039,Turbojato,GOL,10,3413,-3.8893873853185497,1.0,Outros
Embraer E190,27,22409,Turboprop,GOL,6,4071,-4.550477685251742,0.0,Nenhuma
Boeing 737,13,31295,Turbofan,United,23,1895,16.422863323626807,1.0,Instrumentos
Boeing 787,13,49568,Turboprop,American,16,432,1.6353851464714069,0.0,Nenhuma
Airbus A320,1,9270,Turboprop,Delta,17,4162,3.981767584101867,1.0,Outros
Airbus A330,6,11593,Turbojato,United,19,4638,-3.2497406675250033,0.0,Nenhuma
Bombardier CRJ,24,47071,Turboprop,American,3,3860,44.29445418657781,1.0,Elétrico
Airbus A350,19,693,Turbofan,LATAM,18,1946,38.842714649618586,0.0,Nenhuma
Boeing 787,16,35275,Turboprop,LATAM,7,1559,-13.843443904028469,0.0,Nenhuma
Boeing 777,8,18069,Turboprop,GOL,9,4262,-30.51451639483329,0.0,Nenhuma
Bombardier CRJ,28,11690,Turboprop,Azul,20,1628,31.380001543281253,0.0,Nenhuma
Bombardier CRJ,1,43252,Turbojato,British,12,929,44.75947137118658,1.0,Motor
Bombardier CRJ,27,32827,Turbofan,British,5,2212,-15.12824400663013,1.0,Sistema Hidráulico
Boeing 737,27,42570,Turbojato,GOL,3,1622,-9.588281303449868,1.0,Elétrico
Airbus A330,16,20889,Turbojato,Azul,11,1698,40.03882042624225,0.0,Nenhuma
Boeing 737,9,40697,Turbojato,Emirates,4,4789,20.446009030262637,0.0,Nenhuma
Boeing 777,13,2761,Turbojato,American,5,1409,-14.870741798730926,0.0,Nenhuma
Boeing 737,11,28869,Turbojato,Emirates,1,4481,9.38895175913278,0.0,Nenhuma
Airbus A320,13,27012,Turbofan,Emirates,18,3019,40.25951424596177,0.0,Nenhuma
Airbus A330,25,7216,Turboprop,LATAM,12,4010,29.004114090391184,0.0,Nenhuma
Airbus A330,21,21759,Turbojato,Emirates,13,3861,23.055780666936073,1.0,Estrutural
Boeing 777,10,29433,Turbojato,British,9,4292,22.644686496796908,0.0,Nenhuma
Airbus A350,4,42189,Turbofan,United,2,4267,-24.868272435157024,0.0,Nenhuma
Airbus A320,27,4878,Turbofan,Azul,5,130,30.0979053343746,1.0,Sistema Hidráulico
Boeing 787,6,41083,Turboprop,American,13,2782,-16.529916242306058,1.0,Motor
Boeing 737,28,47046,Turbofan,LATAM,16,2759,39.08116592163,1.0,Sistema Hidráulico
Embraer E190,7,20335,Turboprop,Emirates,16,2472,-9.005600763828447,0.0,Nenhuma
Boeing 737,5,29533,Turbojato,United,3,3691,32.9011337485918,0.0,Nenhuma
Bombardier CRJ,11,24500,Turbojato,Azul,22,4649,-17.37015296598688,1.0,Instrumentos
Boeing 737,13,45996,Turboprop,GOL,4,717,3.7347896094904414,1.0,Motor
Boeing 787,26,10832,Turbofan,GOL,11,2546,-30.914749883429852,0.0,Nenhuma
Boeing 737,25,43104,Turboprop,GOL,23,3549,16.110106754674796,1.0,Sistema Hidráulico
Airbus A320,19,3300,Turbofan,British,14,3548,31.066738389181253,1.0,Outros
Airbus A320,23,30038,Turbojato,American,3,1494,21.06801891070537,0.0,Nenhuma
Airbus A330,10,30619,Turbofan,GOL,16,1395,4.476973599785872,0.0,Nenhuma
Boeing 777,10,8833,Turboprop,British,22,1239,-36.165150318875945,0.0,Nenhuma
Airbus A350,11,5910,Turboprop,Delta,15,508,39.34248560952297,0.0,Nenhuma
Embraer E190,21,18339,Turbojato,British,10,1262,19.966611629183944,0.0,Nenhuma
